Vanilla Bread Pudding, Plain, Hot, Soft
Churros, Plain, Hot, Crunchy
Warm Glazed Mochi, Plain, Hot, Chewy
Soft Serve Vanilla Ice Cream, Plain, Cold, Soft
Fried Ice Cream, Plain, Cold, Crunchy
Ice Cream Mochi, Plain, Cold, Chewy
Angel Food Cake, Plain, Room Temperature, Soft
Shortbread Cookies, Plain, Room Temperature, Crunchy
Rice Krispie Treats, Plain, Room Temperature, Chewy
Chocolate Lava Cake, Chocolate, Hot, Soft
Chocolate Soufflé, Chocolate, Hot, Crunchy
Warm Chocolate Chip Cookie, Chocolate, Hot, Chewy
Chocolate Mousse, Chocolate, Cold, Soft
Mint Chocolate Chip Ice Cream, Chocolate, Cold, Crunchy
Brownie Sunday, Chocolate, Cold, Chewy
Chocolate Fudge, Chocolate, Room Temperature, Soft
Peppermint Bark, Chocolate, Room Temperature, Crunchy
Chocolate Taffy, Chocolate, Room Temperature, Chewy
Baked Apples with Cinnamon, Fruity, Hot, Soft
Peach Cobbler, Fruity, Hot, Crunchy
Grilled Pineapple with Honey Glaze, Fruity, Hot, Chewy
Mango Sorbet, Fruity, Cold, Soft
Strawberry Popsicle, Fruity, Cold, Crunchy
Fruit Jello, Fruity, Cold, Chewy
Banana Bread, Fruity, Room Temperature, Soft
Raspberry Macarons, Fruity, Room Temperature, Crunchy
Panna Cotta, Fruity, Room Temperature, Chewy
